path,slug,title,artist,year,track_file,md_exists,bc_url,bc_type,folder_exists,n_files
2013 - continental-combo-recordar-e-viver-2013,continental-combo-recordar-e-viver-2013,combo-recordar-e-viver-2013,continental,2013,continental-combo-recordar-e-viver-2013.mp3,True,https://continentalcombo.bandcamp.com,generic,True,2
2013 - cor-simbolismo-ep-2013,cor-simbolismo-ep-2013,simbolismo-ep-2013,cor,2013,cor-simbolismo-ep-2013.mp3,True,https://cordisco.bandcamp.com,generic,True,2
2013 - COSMOGUM - 603 EP,cosmogum-603-ep-2012,603 EP,COSMOGUM,2013,cosmogum-603-ep-2012.mp3,True,http://cosmogum.bandcamp.com/album/603-ep**](http://cosmogum.bandcamp.com/album/603-ep,album,True,2
2013 - Coyote Indigo Horning,coyote-indigo-horning-2013,Coyote Indigo Horning,,2013,coyote-indigo-horning-2013.mp3,True,https://coyoteindigo.bandcamp.com,generic,True,2
2013 - Cristo Bomba - A Diferença Entre Linces e Lobos,cristo-bomba-diferenca-entre-linces-e,A Diferença Entre Linces e Lobos,Cristo Bomba,2013,cristo-bomba-diferenca-entre-linces-e.mp3,True,https://cristobomba.bandcamp.com/**](https://cristobomba.bandcamp.com,generic,True,2
2013 - days-of-sunday-days-of-sunday-2013,days-of-sunday-days-of-sunday-2013,of-sunday-days-of-sunday-2013,days,2013,days-of-sunday-days-of-sunday-2013.mp3,True,https://daysofsunday.bandcamp.com/**](https://daysofsunday.bandcamp.com,generic,True,2
2013 - dazai-nuviar-ritoli-2013,dazai-nuviar-ritoli-2013,nuviar-ritoli-2013,dazai,2013,dazai-nuviar-ritoli-2013.mp3,True,,none,True,2
2013 - dead-in-dump-nomed-2013,dead-in-dump-nomed-2013,in-dump-nomed-2013,dead,2013,dead-in-dump-nomed-2013.mp3,True,https://deadindump.bandcamp.com,generic,True,2
2013 - dedo-aldeia-global-2013,dedo-aldeia-global-2013,aldeia-global-2013,dedo,2013,dedo-aldeia-global-2013.mp3,True,http://dedo.bandcamp.com/album/aldeia-global**](http://dedo.bandcamp.com/album/aldeia-global,album,True,2
2013 - dedo-ao-vivo-quintavant-audio-rebel-2013,dedo-ao-vivo-quintavant-audio-rebel-2013,ao-vivo-quintavant-audio-rebel-2013,dedo,2013,dedo-ao-vivo-quintavant-audio-rebel-2013.mp3,True,https://dedo.bandcamp.com,generic,True,2
2013 - dedo-ed-alpha-tauri-2013,dedo-ed-alpha-tauri-2013,ed-alpha-tauri-2013,dedo,2013,dedo-ed-alpha-tauri-2013.mp3,True,https://dedo.bandcamp.com**](https://dedo.bandcamp.com,generic,True,2
2013 - DEE - Rec 3,whoxxist-bedroom-ep-2013,Rec 3,DEE,2013,whoxxist-bedroom-ep-2013.mp3,True,,none,True,2
2013 - Diamond Sea As - As Flores Que Murcham Com O Tempo,diamond-sea-as-flores-que-murcham-com-o,As Flores Que Murcham Com O Tempo,Diamond Sea As,2013,diamond-sea-as-flores-que-murcham-com-o.mp3,True,https://diamondsea.bandcamp.com/**](https://diamondsea.bandcamp.com,generic,True,2
2013 - DIAZ - Caipira EP,diaz-caipira-ep-2013,Caipira EP,DIAZ,2013,diaz-caipira-ep-2013.mp3,True,http://bigornadiscos.bandcamp.com/album/caipira-ep,album,True,2
2013 - die-kunkun-jesus-wet-2013,die-kunkun-jesus-wet-2013,kunkun-jesus-wet-2013,die,2013,die-kunkun-jesus-wet-2013.mp3,True,https://diekunkun.bandcamp.com**](https://diekunkun.bandcamp.com,generic,True,2
2013 - Discos e Afins Convida #12,farmacopeia-creezo-e-doppelgangers,Discos e Afins Convida #12,,2013,farmacopeia-creezo-e-doppelgangers.mp3,True,https://discoseafins.bandcamp.com,generic,True,2
2013 - dj-guerrinha-rua-sorocaba-2013,dj-guerrinha-rua-sorocaba-2013,guerrinha-rua-sorocaba-2013,dj,2013,dj-guerrinha-rua-sorocaba-2013.mp3,True,http://40porcentofodabarramaneirissimo.bandcamp.com/album/rua-sorocaba**](http://40porcentofodabarramaneirissimo.bandcamp.com/album/rua-sorocaba,album,True,2
